Police Officer,Total Workload
Police Officer0,665.288
Police Officer1,631.45
Police Officer2,584.1671
Police Officer3,613.342
Police Officer4,609.064
Police Officer5,607.0575
Police Officer6,595.6658
Police Officer7,626.1211
Police Officer8,560.8376
Police Officer9,584.0162
Police Officer10,632.3501
Police Officer11,614.4455
Police Officer12,632.5866
Police Officer13,550.3985
Police Officer14,641.7151
Police Officer15,614.5541
Police Officer16,715.8354
Police Officer17,667.8175
Police Officer18,612.7387
Police Officer19,622.6661
Police Officer20,463.7204
Police Officer21,619.3701
Police Officer22,507.9584
Police Officer23,578.1514
Police Officer24,562.5933
Police Officer25,495.094
Police Officer26,588.8194
Police Officer27,518.356
Police Officer28,657.3639
Police Officer29,592.987
Police Officer30,474.4819
Police Officer31,557.1129
Police Officer32,615.6478
Police Officer33,495.7581
Police Officer34,556.2552
